project_title,mood,example_prompt
Worn Beauty,worn,"A slow, contemplative sequence where close-up shots of weathered textures—aged paper, cracked leather, wrinkled fabric—gradually reveal themselves. The camera drifts with minimal movement, using shallow depth of field. Typography appears etched or embossed, fading in and out with a film grain overlay. Transitions are slow dissolves, almost imperceptible, creating a sense of time passing."
Ocean Dreams,calm,"Smooth, fluid camera movements that mimic water currents. Soft gradients transition from deep blue to light aqua. Typography flows like waves, appearing and disappearing gently. Minimal animation with slow zooms and pans. The overall pace is meditative, with long holds on each frame."
Electric Pulse,energetic,"Fast-paced cuts with kinetic typography that pulses and bounces. Bold, saturated colors flash in sync with a driving rhythm. Camera movements are dynamic—quick zooms, whip pans, and rotating angles. Transitions use glitch effects and digital artifacts. The energy builds through rapid succession of visual elements."
Vintage Memories,retro,"Warm, desaturated color palette with film grain and light leaks. Typography uses classic serif fonts with subtle animation. Camera movements are smooth but deliberate, reminiscent of 1970s filmmaking. Transitions include cross-dissolves and iris wipes. Overall aesthetic feels like found footage from another era."
Childhood Summers,nostalgic,"Soft focus and warm, golden hour lighting throughout. Hand-drawn or illustrated elements blend with live action. Typography has a playful, handwritten quality. Camera movements are gentle and organic, like memories being recalled. Transitions fade softly, creating a dreamy, hazy atmosphere."
Playful Adventures,playful,"Bouncy, elastic animations with bright, saturated colors. Typography dances and rotates playfully. Camera movements include unexpected angles and quick zooms. Transitions use fun effects like page flips or cartoon-style wipes. The overall tone is lighthearted and energetic."
Neon Future,futuristic,"High contrast with neon accents against dark backgrounds. Typography is sleek and geometric, with holographic effects. Camera movements are precise and mechanical, using smooth tracking shots. Transitions include digital glitches and data visualizations. The aesthetic feels like a sci-fi interface."
Desert Journey,worn,"Textures of sand, stone, and weathered surfaces dominate. Camera slowly pans across vast landscapes with shallow depth of field. Typography appears carved or etched into surfaces. Transitions are slow and contemplative, mirroring the vastness of the desert. Color palette is warm earth tones with high contrast."
Morning Light,calm,"Soft, diffused lighting with pastel colors. Gentle camera movements that feel like breathing. Typography appears gradually, like morning mist clearing. Transitions are seamless and organic. The overall pace is slow and peaceful, creating a sense of tranquility."
City Rush,energetic,"Fast-paced montage of urban elements with quick cuts. Bold, high-contrast typography that moves dynamically. Camera uses handheld movements and quick pans. Transitions are sharp cuts with motion blur. The energy reflects the hustle of city life."
Midnight Drive,retro,"Dark, moody lighting with neon street signs. Typography has a retro-futuristic aesthetic. Camera movements are smooth tracking shots, like a car in motion. Transitions use light trails and motion blur. The overall feel is like a 1980s night drive."
Family Album,nostalgic,"Warm, sepia-toned color grading with film grain. Typography mimics handwritten captions. Camera movements are slow and gentle, like flipping through old photos. Transitions use fade effects and vintage film artifacts. The mood is tender and sentimental."
Cartoon Fun,playful,"Bright, primary colors with bold outlines. Typography has a hand-drawn, animated quality. Camera movements include squash and stretch effects. Transitions use cartoon-style wipes and bounces. The overall aesthetic is like a Saturday morning cartoon."
Space Odyssey,futuristic,"Deep space backgrounds with stars and nebulas. Typography appears with holographic and particle effects. Camera movements are slow and majestic, like floating in space. Transitions use light speed effects and dimensional shifts. The aesthetic is cosmic and awe-inspiring."

